"Id","qc_code","LotFrontage","LotArea","BldgType","FullBath","HalfBath","TotRmsAbvGrd","YearBuilt","TotalBsmtSF","BedroomAbvGr","Heating","CentralAir","GrLivArea","PoolArea","YrSold","SalePrice","Qual","Cond"
"train_5988",1042019,80,14200,"1Fam",1,1,6,1880,832,3,"GasA","Y",1258,0,2009,209698.271629067,"10B","6B"
"train_2849",23232234,44,6240,"TwnhsE",1,1,6,1880,1264,3,"GasA","Y",816,0,2007,69704.0998356951,"4B","5B"
"train_1900",19921184,60,10500,"1Fam",1,0,5,1880,1080,4,"GasA","Y",1144,0,2006,129145.586783829,"5B","5B"
"train_7376",19921184,76,7922,"1Fam",3,0,9,1880,940,3,"GasA","Y",1474,0,2007,156237.337310299,"5B","5B"
"train_8628",19921184,110,10000,"1Fam",2,0,6,1880,729,4,"GasA","Y",1230,0,2009,111112.919258242,"5B","5B"
"train_4251",24644229,50,13472,"1Fam",2,0,5,1880,1269,2,"GasA","N",1520,0,2006,146157.753536121,"5B","8B"
"train_5035",22012553,59,10927,"1Fam",1,0,5,1880,1063,3,"GasA","Y",864,0,2007,110242.315614937,"6B","4B"
"train_2074",87199179,55,9000,"TwnhsE",2,0,5,1880,848,2,"GasA","Y",1362,0,2008,134160.799363638,"6B","5B"
"train_3500",87199179,49,8480,"Duplex",1,0,5,1880,1392,4,"GasA","Y",1296,0,2007,105388.872334068,"6B","5B"
"train_5091",87199179,71,3922,"1Fam",2,1,6,1880,901,3,"GasA","Y",1350,0,2009,74127.4011253596,"6B","5B"
"train_7929",87199179,94,12800,"1Fam",2,0,8,1880,1029,2,"GasA","Y",1226,0,2010,133523.171251148,"6B","5B"
"train_9327",87199179,121,3880,"1Fam",1,0,7,1880,1416,4,"GasA","N",1494,0,2008,95117.5796083483,"6B","5B"
"train_6280",16932225,NA,9187,"1Fam",1,0,7,1880,1436,3,"GasA","Y",1268,0,2008,144527.131441411,"6B","6B"
"train_6502",97195160,24,14115,"1Fam",1,1,8,1880,1086,4,"GasA","Y",904,0,2008,114199.959623842,"6B","7B"
"train_3929",246250102,60,12692,"1Fam",2,1,6,1880,864,3,"GasA","Y",1269,0,2006,143387.017164052,"6B","8B"
"train_528",140253130,101,10637,"1Fam",2,0,10,1880,616,4,"GasA","Y",1183,0,2007,138050.585205282,"7B","5B"
"train_1259",140253130,70,12677,"1Fam",2,0,5,1880,1468,3,"GasA","Y",1297,0,2006,157316.921541755,"7B","5B"
"train_4481",140253130,50,3196,"1Fam",2,2,5,1880,1080,3,"GasA","Y",1131,0,2008,91531.1739187065,"7B","5B"
"train_5646",140253130,60,9100,"1Fam",1,1,10,1880,1468,4,"GasA","Y",1474,0,2010,146445.498281717,"7B","5B"
"train_5657",140253130,76,7018,"1Fam",1,0,7,1880,948,3,"GasA","Y",1978,0,2009,173130.73861241,"7B","5B"
"train_5743",140253130,32,9612,"1Fam",2,1,6,1880,1273,3,"GasA","Y",943,0,2009,110214.847926426,"7B","5B"
"train_7206",140253130,NA,3182,"1Fam",2,0,5,1880,1258,3,"GasA","Y",1236,0,2008,119260.65872197,"7B","5B"
"train_8363",140253130,56,11841,"1Fam",2,0,8,1880,1107,2,"GasA","Y",1686,0,2010,173011.720352293,"7B","5B"
"train_523",15073124,60,8546,"1Fam",1,0,6,1880,1800,3,"GasA","Y",1118,0,2008,166490.994754709,"7B","6B"
"train_764",75107234,60,9600,"1Fam",3,1,6,1880,654,2,"GasA","Y",1768,0,2008,139707.294057354,"7B","7B"
"train_3310",707033,NA,6993,"1Fam",1,1,6,1880,1496,3,"GasA","Y",1214,0,2006,224581.73010304,"8B","5B"
"train_5704",707033,70,7200,"1Fam",1,0,6,1880,756,3,"GasA","Y",1712,0,2006,176552.201072425,"8B","5B"
"train_2390",254104193,65,7227,"1Fam",1,1,5,1880,750,2,"GasA","Y",2704,0,2006,199662.708106232,"8B","6B"
"train_3630",2161751,43,11250,"1Fam",1,0,6,1880,918,3,"GasA","Y",1610,0,2008,140218.392301562,"8B","7B"
"train_28",248154,70,5820,"1Fam",1,0,4,1882,849,3,"GasA","Y",1026,0,2007,202141.322125297,"10B","7B"
"train_6913",19921184,NA,10800,"1Fam",2,0,5,1882,924,3,"GasA","Y",1317,0,2009,107717.080912078,"5B","5B"
"train_5018",2860211,NA,8246,"Twnhs",2,0,7,1882,1056,3,"GasA","Y",1547,0,2009,153246.872446658,"5B","6B"
"train_2650",246250102,52,4280,"1Fam",2,0,7,1882,866,1,"GasA","N",520,0,2010,104177.376969524,"6B","8B"
"train_370",140253130,65,8197,"1Fam",1,0,12,1882,0,3,"GasA","Y",1301,0,2008,111677.685665267,"7B","5B"
"train_546",140253130,64,6120,"1Fam",2,0,6,1882,0,3,"GasA","Y",1432,0,2006,112948.01801222,"7B","5B"
